Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
121	-56.71049	89.37773	232.13315	-117.35011	-99.45672	14.8165245	-57.719936	-116.831566	293.33334	143.1	483999	34.08876	30.778772	68.98287	-128.19208	-34.625416	4.9616356	8571.691499710083
122	-71.85027	67.34456	139.13217	-118.08902	-41.692482	50.430084	48.328262	-108.11648	258.26666	394.5	487999	34.326733	31.131271	73.625305	-130.0161	-34.93235	5.244199	8646.741131067276
123	-7.4325037	87.924484	174.24477	-110.61806	45.64886	94.93786	186.28746	-80.61567	535.875	710.7	491999	35.34204	30.88193	73.6023	-128.45923	-35.95321	5.478652	8724.857477426529
124	51.83483	73.44538	167.85475	-29.898636	81.91022	11.873274	101.06691	67.55644	770.8	1000.0	495999	35.46397	31.398876	82.094315	-148.29738	-36.021866	4.999242	8806.055237054825
125	-9.489515	86.15547	145.1059	-98.79853	15.041516	138.62096	277.3071	-92.698814	667.5	367.2	499999	34.764717	31.434355	82.34348	-143.93219	-35.268585	5.3893576	8880.322216033936
126	-66.801025	42.241657	32.68895	-104.481575	133.86351	153.71414	273.00845	-84.62064	228.3125	610.5	503999	33.604935	31.636581	79.93498	-128.24387	-34.11387	5.4894114	8957.053972482681
127	-8.166041	111.04739	273.7377	-114.550804	147.40926	121.53622	273.5407	-17.431437	363.83334	742.7	507999	33.54483	31.477833	77.34281	-126.507385	-34.111576	5.4359756	9035.538356304169
128	-101.77287	19.018038	-38.410484	-130.82446	-74.276924	58.01404	37.2815	-140.37927	162.4	585.1	511999	34.33467	32.151695	79.61223	-126.64324	-34.994667	6.1024456	9113.643148183823
129	-44.61939	103.26576	239.96677	-106.9848	-68.28414	20.941246	-11.677759	-89.5546	448.8889	218.5	515999	36.89203	33.298923	69.36836	-159.50992	-37.58993	6.359769	9189.31277179718
130	23.821802	127.55807	199.17818	-107.45683	91.06676	14.274954	109.635345	62.29132	654.0	1000.0	519999	38.49422	33.814735	66.0199	-130.63132	-39.129364	6.9618683	9272.765981674194
131	161.32965	112.64848	275.1503	-5.6311736	35.810295	91.85722	278.10162	-59.410168	759.0	427.8	523999	37.864246	33.59475	68.400734	-136.42928	-38.365852	6.3095164	9350.823024272919
132	146.07256	109.04063	273.85358	18.220781	248.50137	77.18358	275.9586	16.971449	703.6	785.7	527999	36.36552	32.711952	67.9646	-125.62407	-36.842274	5.6803064	9432.271781921387
133	149.54948	145.47475	276.92276	-81.41391	193.63635	116.665184	271.49792	-0.7803483	664.7143	765.0	531999	34.71774	32.100872	67.39547	-134.86789	-35.166164	5.513453	9514.114115953445
134	197.07437	151.78915	274.75702	-106.4936	212.52657	102.79668	260.94122	-94.210754	726.0	913.9	535999	33.046196	32.033096	66.90093	-147.16417	-33.48826	5.3619795	9597.24720621109
